epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9447,1.57986,2.77537,1.90859,0.00333,1,0.07103,0.01745,1.88397,3.85428,2.32453,4e-05,4e-05,4e-05
2,27.4325,1.56423,2.92969,2.02887,0.00333,1,0.26575,0.08844,1.7657,3.84827,2.16868,9.802e-05,9.802e-05,9.802e-05
3,36.1473,1.56466,2.6721,2.06343,0.00333,1,0.56671,0.21865,1.30821,3.59211,1.90094,0.000153664,0.000153664,0.000153664
4,44.6741,1.28923,2.06859,1.83061,0.00333,1,0.46132,0.20613,1.34266,3.5781,1.88249,0.000206932,0.000206932,0.000206932
5,53.3376,1.35889,1.88805,1.6584,0.00333,1,0.29033,0.11662,1.58183,3.63667,1.92929,0.000257824,0.000257824,0.000257824
6,61.6539,1.46967,1.88108,1.77779,0.00333,1,0.35287,0.13284,1.69222,3.77627,2.0619,0.00030634,0.00030634,0.00030634
7,69.9496,1.83179,2.33594,2.07297,0.00333,1,0.22821,0.09864,1.56795,3.6305,2.03383,0.00035248,0.00035248,0.00035248
8,78.1651,1.74385,3.6375,2.2029,0.00333,1,0.38318,0.14223,1.40823,3.42685,2.07103,0.000396244,0.000396244,0.000396244
9,86.3605,1.37029,1.97084,1.98575,0.00333,1,0.66341,0.23286,1.43508,3.1583,2.24091,0.000437632,0.000437632,0.000437632
10,94.8066,1.00654,1.78591,1.50211,0.00645,1,0.61644,0.21818,1.49248,3.25576,2.27188,0.000476644,0.000476644,0.000476644
11,118.891,1.20436,2.55063,1.67752,0.00333,1,0.58956,0.22082,1.41499,3.27165,1.94967,0.00051328,0.00051328,0.00051328
12,152.055,1.2887,1.70405,1.55645,0.00333,1,0.60677,0.2235,1.31779,3.28978,1.77284,0.00054754,0.00054754,0.00054754
13,180.124,1.25655,2.44223,1.66615,0.00333,1,0.64308,0.1943,1.89266,3.28514,2.67418,0.000579424,0.000579424,0.000579424
14,207.652,1.0543,1.75103,1.54447,0.02727,0.81818,0.40451,0.2016,2.09951,3.3296,3.50734,0.000608932,0.000608932,0.000608932
